t,i,m,c,value
1838,ROW,Sn,scrap,1.0
1838,ROW,Zn,concentrate,1.0
1838,ROW,Zn,refined_metal,1.0
1838,ROW,Zn,scrap,1.0
1839,CHN,Ni,concentrate,1.0
1839,CHN,Ni,refined_metal,1.0
1839,CHN,Ni,scrap,1.0
1839,CHN,Sn,concentrate,1.0
1839,CHN,Sn,refined_metal,1.0
1839,CHN,Sn,scrap,1.0
1839,CHN,Zn,concentrate,1.0
1839,CHN,Zn,refined_metal,1.0
1839,CHN,Zn,scrap,1.0
1839,EU27,Ni,concentrate,1.0
1839,EU27,Ni,refined_metal,1.0
1839,EU27,Ni,scrap,1.0
1839,EU27,Sn,concentrate,1.0
1839,EU27,Sn,refined_metal,1.0
1839,EU27,Sn,scrap,1.0
1839,EU27,Zn,concentrate,1.0
1839,EU27,Zn,refined_metal,1.0
1839,EU27,Zn,scrap,1.0
1839,ROW,Ni,concentrate,1.0
1839,ROW,Ni,refined_metal,1.0
1839,ROW,Ni,scrap,1.0
1839,ROW,Sn,concentrate,1.0
1839,ROW,Sn,refined_metal,1.0
1839,ROW,Sn,scrap,1.0
1839,ROW,Zn,concentrate,1.0
1839,ROW,Zn,refined_metal,1.0
1839,ROW,Zn,scrap,1.0
1840,CHN,Ni,concentrate,1.0
1840,CHN,Ni,refined_metal,1.0
1840,CHN,Ni,scrap,1.0
1840,CHN,Sn,concentrate,1.0
1840,CHN,Sn,refined_metal,1.0
1840,CHN,Sn,scrap,1.0
1840,CHN,Zn,concentrate,1.0
1840,CHN,Zn,refined_metal,1.0
1840,CHN,Zn,scrap,1.0
1840,EU27,Ni,concentrate,1.0
1840,EU27,Ni,refined_metal,1.0
1840,EU27,Ni,scrap,1.0
1840,EU27,Sn,concentrate,1.0
1840,EU27,Sn,refined_metal,1.0
1840,EU27,Sn,scrap,1.0
1840,EU27,Zn,concentrate,1.0
1840,EU27,Zn,refined_metal,1.0
1840,EU27,Zn,scrap,1.0
1840,ROW,Ni,concentrate,1.0
1840,ROW,Ni,refined_metal,1.0
1840,ROW,Ni,scrap,1.0
1840,ROW,Sn,concentrate,1.0
1840,ROW,Sn,refined_metal,1.0
1840,ROW,Sn,scrap,1.0
1840,ROW,Zn,concentrate,1.0
1840,ROW,Zn,refined_metal,1.0
1840,ROW,Zn,scrap,1.0
1841,CHN,Ni,concentrate,1.0
1841,CHN,Ni,refined_metal,1.0
1841,CHN,Ni,scrap,1.0
1841,CHN,Sn,concentrate,1.0
1841,CHN,Sn,refined_metal,1.0
1841,CHN,Sn,scrap,1.0
1841,CHN,Zn,concentrate,1.0
1841,CHN,Zn,refined_metal,1.0
1841,CHN,Zn,scrap,1.0
1841,EU27,Ni,concentrate,1.0
1841,EU27,Ni,refined_metal,1.0
1841,EU27,Ni,scrap,1.0
1841,EU27,Sn,concentrate,1.0
1841,EU27,Sn,refined_metal,1.0
1841,EU27,Sn,scrap,1.0
1841,EU27,Zn,concentrate,1.0
1841,EU27,Zn,refined_metal,1.0
1841,EU27,Zn,scrap,1.0
1841,ROW,Ni,concentrate,1.0
1841,ROW,Ni,refined_metal,1.0
1841,ROW,Ni,scrap,1.0
1841,ROW,Sn,concentrate,1.0
1841,ROW,Sn,refined_metal,1.0
1841,ROW,Sn,scrap,1.0
1841,ROW,Zn,concentrate,1.0
1841,ROW,Zn,refined_metal,1.0
1841,ROW,Zn,scrap,1.0
1842,CHN,Ni,concentrate,1.0
1842,CHN,Ni,refined_metal,1.0
1842,CHN,Ni,scrap,1.0
1842,CHN,Sn,concentrate,1.0
1842,CHN,Sn,refined_metal,1.0
1842,CHN,Sn,scrap,1.0
1842,CHN,Zn,concentrate,1.0
1842,CHN,Zn,refined_metal,1.0
1842,CHN,Zn,scrap,1.0
1842,EU27,Ni,concentrate,1.0
1842,EU27,Ni,refined_metal,1.0
1842,EU27,Ni,scrap,1.0
1842,EU27,Sn,concentrate,1.0
1842,EU27,Sn,refined_metal,1.0
1842,EU27,Sn,scrap,1.0
1842,EU27,Zn,concentrate,1.0
1842,EU27,Zn,refined_metal,1.0
1842,EU27,Zn,scrap,1.0
1842,ROW,Ni,concentrate,1.0
1842,ROW,Ni,refined_metal,1.0
1842,ROW,Ni,scrap,1.0
1842,ROW,Sn,concentrate,1.0
1842,ROW,Sn,refined_metal,1.0
1842,ROW,Sn,scrap,1.0
1842,ROW,Zn,concentrate,1.0
1842,ROW,Zn,refined_metal,1.0
1842,ROW,Zn,scrap,1.0
1843,CHN,Ni,concentrate,1.0
1843,CHN,Ni,refined_metal,1.0
1843,CHN,Ni,scrap,1.0
1843,CHN,Sn,concentrate,1.0
1843,CHN,Sn,refined_metal,1.0
1843,CHN,Sn,scrap,1.0
1843,CHN,Zn,concentrate,1.0
1843,CHN,Zn,refined_metal,1.0
1843,CHN,Zn,scrap,1.0
1843,EU27,Ni,concentrate,1.0
1843,EU27,Ni,refined_metal,1.0
1843,EU27,Ni,scrap,1.0
1843,EU27,Sn,concentrate,1.0
1843,EU27,Sn,refined_metal,1.0
1843,EU27,Sn,scrap,1.0
1843,EU27,Zn,concentrate,1.0
1843,EU27,Zn,refined_metal,1.0
1843,EU27,Zn,scrap,1.0
1843,ROW,Ni,concentrate,1.0
1843,ROW,Ni,refined_metal,1.0
1843,ROW,Ni,scrap,1.0
1843,ROW,Sn,concentrate,1.0
1843,ROW,Sn,refined_metal,1.0
1843,ROW,Sn,scrap,1.0
1843,ROW,Zn,concentrate,1.0
1843,ROW,Zn,refined_metal,1.0
1843,ROW,Zn,scrap,1.0
1844,CHN,Ni,concentrate,1.0
1844,CHN,Ni,refined_metal,1.0
1844,CHN,Ni,scrap,1.0
1844,CHN,Sn,concentrate,1.0
1844,CHN,Sn,refined_metal,1.0
1844,CHN,Sn,scrap,1.0
1844,CHN,Zn,concentrate,1.0
1844,CHN,Zn,refined_metal,1.0
1844,CHN,Zn,scrap,1.0
1844,EU27,Ni,concentrate,1.0
1844,EU27,Ni,refined_metal,1.0
1844,EU27,Ni,scrap,1.0
1844,EU27,Sn,concentrate,1.0
1844,EU27,Sn,refined_metal,1.0
1844,EU27,Sn,scrap,1.0
1844,EU27,Zn,concentrate,1.0
1844,EU27,Zn,refined_metal,1.0
1844,EU27,Zn,scrap,1.0
1844,ROW,Ni,concentrate,1.0
1844,ROW,Ni,refined_metal,1.0
1844,ROW,Ni,scrap,1.0
1844,ROW,Sn,concentrate,1.0
1844,ROW,Sn,refined_metal,1.0
1844,ROW,Sn,scrap,1.0
1844,ROW,Zn,concentrate,1.0
1844,ROW,Zn,refined_metal,1.0
1844,ROW,Zn,scrap,1.0
