t,r,m,i,value
1845,ROW,Sn,EU27,0.0
1845,ROW,Sn,ROW,0.0
1845,ROW,Zn,CHN,0.0
1845,ROW,Zn,EU27,0.0
1845,ROW,Zn,ROW,0.0
1846,CHN,Ni,CHN,0.0
1846,CHN,Ni,EU27,0.0
1846,CHN,Ni,ROW,0.0
1846,CHN,Sn,CHN,0.0
1846,CHN,Sn,EU27,0.0
1846,CHN,Sn,ROW,0.0
1846,CHN,Zn,CHN,0.0
1846,CHN,Zn,EU27,0.0
1846,CHN,Zn,ROW,0.0
1846,EU27,Ni,CHN,0.0
1846,EU27,Ni,EU27,0.0
1846,EU27,Ni,ROW,0.0
1846,EU27,Sn,CHN,0.0
1846,EU27,Sn,EU27,0.0
1846,EU27,Sn,ROW,0.0
1846,EU27,Zn,CHN,0.0
1846,EU27,Zn,EU27,0.0
1846,EU27,Zn,ROW,0.0
1846,ROW,Ni,CHN,0.0
1846,ROW,Ni,EU27,0.0
1846,ROW,Ni,ROW,0.0
1846,ROW,Sn,CHN,0.0
1846,ROW,Sn,EU27,0.0
1846,ROW,Sn,ROW,0.0
1846,ROW,Zn,CHN,0.0
1846,ROW,Zn,EU27,0.0
1846,ROW,Zn,ROW,0.0
1847,CHN,Ni,CHN,0.0
1847,CHN,Ni,EU27,0.0
1847,CHN,Ni,ROW,0.0
1847,CHN,Sn,CHN,0.0
1847,CHN,Sn,EU27,0.0
