t,r,m,c,value
1841,ROW,Ni,scrap,5.910743139527567
1841,ROW,Sn,concentrate,0.0
1841,ROW,Sn,refined_metal,82.99626023592486
1841,ROW,Sn,scrap,33.86261043616657
1841,ROW,Zn,concentrate,0.0
1841,ROW,Zn,refined_metal,328.76222308771827
1841,ROW,Zn,scrap,129.96507425434027
1842,CHN,Ni,concentrate,0.0
1842,CHN,Ni,refined_metal,0.04542954058509644
1842,CHN,Ni,scrap,0.07208071934544663
1842,CHN,Sn,concentrate,0.0
1842,CHN,Sn,refined_metal,10.096215933376198
1842,CHN,Sn,scrap,2.859205528143859
1842,CHN,Zn,concentrate,0.0
1842,CHN,Zn,refined_metal,11.424709079544426
1842,CHN,Zn,scrap,52.00282423133553
1842,EU27,Ni,concentrate,0.0
1842,EU27,Ni,refined_metal,4.091600707485155
1842,EU27,Ni,scrap,9.483659228400365
1842,EU27,Sn,concentrate,0.0
1842,EU27,Sn,refined_metal,26.965067201064908
1842,EU27,Sn,scrap,55.80238310847953
1842,EU27,Zn,concentrate,0.0
