baseline_run,scenario,scenario_run,indicator,baseline_mean_2020_2100,scenario_mean_2020_2100,delta_mean_reporting,delta_mean_reporting_pct,baseline_mean_2100,scenario_mean_2100,delta_mean_2100,status,notes
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
